metric,n_samples,pearson_r,spearman_r,mean_abs_diff,median_abs_diff,max_abs_diff,within_1pct,within_10pct,pct_within_10pct
Count_Cells_avg,15132,1.0,1.0,0.0,0.0,0.0,14787.0,14787.0,97.720063
slope,15132,0.993407,0.992869,0.019728,0.010054,1.260058,3110.0,12629.0,83.458895
last_peak_ind,15132,0.977856,0.977894,0.017101,0.004622,1.113996,,,
t_target_pattern,15132,0.978555,0.954411,0.051608,0.0,17.035048,13780.0,13894.0,91.818662
t_orth,15132,0.867115,0.927135,0.425275,0.09932,226.654809,1212.0,10532.0,69.600846
t_slope,15132,0.990619,0.995398,0.050929,0.011343,6.912018,5202.0,11836.0,78.218345
d_slope,15132,0.99749,0.996104,0.010418,0.003516,0.605519,5222.0,12178.0,80.478456
