metric,n_samples,pearson_r,spearman_r,mean_abs_diff,median_abs_diff,max_abs_diff,within_1pct,within_10pct,pct_within_10pct
Count_Cells_avg,30618,1.0,1.0,0.0,0.0,0.0,30617.0,30617.0,99.996734
slope,30618,1.0,1.0,0.0,0.0,0.0,30617.0,30617.0,99.996734
last_peak_ind,30618,1.0,1.0,0.0,0.0,0.0,,,
t_target_pattern,30618,1.0,1.0,0.0,0.0,0.0,30617.0,30617.0,99.996734
t_orth,30618,1.0,1.0,0.0,0.0,0.0,30617.0,30617.0,99.996734
t_slope,30618,1.0,1.0,0.0,0.0,0.0,30617.0,30617.0,99.996734
d_slope,30618,1.0,1.0,0.0,0.0,0.0,30617.0,30617.0,99.996734
