metric,n_samples,pearson_r,spearman_r,mean_abs_diff,median_abs_diff,max_abs_diff,within_1pct,within_10pct,pct_within_10pct
Count_Cells_avg,115731,0.998928,0.99891,0.136863,0.0,74.192593,115236.0,115301.0,99.628449
slope,115731,0.996009,0.997854,0.003698,0.0,4.611407,105243.0,111571.0,96.405457
last_peak_ind,115731,0.997577,0.997719,0.001851,0.0,1.147282,,,
t_target_pattern,115731,0.999821,0.99761,0.026461,0.0,1087.818117,115344.0,115377.0,99.694118
t_orth,115731,0.999965,0.997521,0.055979,0.0,1334.618697,115340.0,115374.0,99.691526
t_slope,115731,0.999192,0.999726,0.003451,0.0,12.599028,111716.0,114638.0,99.055569
d_slope,115731,0.999419,0.999798,0.000726,0.0,3.901057,111811.0,114806.0,99.200733
